price,bedRoom,bathroom,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_type,agePossession,sector,type,luxury,balcony
0.95,2.0,1.0,1069.0,0,0,0,0,0,2,3.0,2.0,98.0,0.0,2.0,0.0
1.45,3.0,5.0,1597.6,0,1,0,0,1,0,2.0,3.0,181.0,0.0,1.0,3.0
1.26,3.0,3.0,965.0,0,0,0,0,0,2,3.0,1.0,110.0,0.0,0.0,3.0
2.2,3.0,4.0,1680.0,0,1,0,0,0,1,1.0,3.0,164.0,0.0,2.0,4.0
2.4,3.0,4.0,1682.4,0,1,0,0,0,1,2.0,3.0,164.0,0.0,3.0,4.0
0.41,2.0,2.0,654.012,0,0,0,0,0,2,3.0,1.0,106.0,0.0,0.0,3.0
1.2,3.0,3.0,1296.0,0,0,0,0,1,0,3.0,3.0,153.0,0.0,1.0,3.0
2.0,3.0,4.0,1926.4,0,1,0,0,0,2,1.0,3.0,169.0,0.0,0.0,3.0
0.93,2.0,3.0,1026.4,0,0,0,0,0,2,1.0,3.0,71.0,0.0,2.0,3.0
3.85,4.0,4.0,2626.0,0,0,0,0,0,2,3.0,2.0,150.0,1.0,0.0,3.0
0.35,2.0,2.0,355.0,0,0,0,0,0,2,3.0,2.0,174.0,1.0,0.0,0.0
0.54,2.0,2.0,960.0,0,0,0,0,0,2,2.0,3.0,168.0,0.0,2.0,4.0
2.85,3.0,3.0,1550.0,1,0,0,0,0,0,2.0,3.0,145.0,0.0,2.0,3.0
3.5,4.0,4.0,1625.0,0,0,0,1,0,0,3.0,3.0,122.0,1.0,1.0,1.0
0.15,2.0,1.0,678.0,0,0,0,0,0,2,3.0,2.0,174.0,1.0,0.0,2.0
1.5,4.0,4.0,1312.0,0,0,0,0,0,2,3.0,2.0,130.0,0.0,2.0,3.0
0.34,2.0,2.0,629.0,0,0,0,0,0,2,0.0,1.0,190.0,0.0,0.0,0.0
1.05,2.0,2.0,1312.0,0,0,0,0,1,2,1.0,3.0,169.0,0.0,1.0,3.0
1.05,3.0,3.0,1225.0,0,0,0,1,0,0,1.0,0.0,167.0,0.0,2.0,3.0
2.7,4.0,3.0,3150.158,0,0,0,0,0,2,1.0,2.0,79.0,0.0,0.0,3.0
0.6,2.0,2.0,720.0,0,0,0,1,0,1,0.0,1.0,79.0,0.0,0.0,0.0
4.4,4.0,4.0,3500.0,1,1,0,1,1,1,1.0,1.0,164.0,0.0,1.0,4.0
7.0,5.0,5.0,6232.0,0,1,0,0,0,2,3.0,3.0,72.0,1.0,3.0,4.0
0.58,2.0,3.0,1000.0,0,0,0,0,0,2,3.0,3.0,62.0,1.0,0.0,1.0
2.65,3.0,4.0,2000.0,0,1,0,0,0,0,1.0,0.0,127.0,0.0,3.0,4.0
1.8,3.0,3.0,1353.6,0,0,0,0,0,2,1.0,3.0,64.0,0.0,1.0,3.0
0.6,2.0,2.0,750.0,0,0,0,0,0,0,3.0,3.0,138.0,0.0,0.0,2.0
1.3,2.0,2.0,1257.6,1,0,0,0,0,2,3.0,1.0,160.0,0.0,1.0,3.0
1.26,2.0,2.0,972.0,0,0,0,0,0,2,1.0,3.0,64.0,0.0,2.0,1.0
1.34,1.0,1.0,2679.24,0,0,0,0,0,2,3.0,3.0,71.0,1.0,0.0,2.0
1.55,3.0,3.0,1700.0,0,1,0,1,1,2,1.0,2.0,134.0,0.0,3.0,4.0
6.5,12.0,12.0,2368.0,1,0,0,1,0,0,3.0,3.0,122.0,1.0,1.0,4.0
0.95,2.0,2.0,1108.0,0,0,0,0,0,2,3.0,4.0,105.0,0.0,0.0,4.0
