,price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
0,0.45,2.0,2.0,1,low floor,Relatively New,sector 7,flat,900.0,0,0,unfurnished,low
1,0.5,2.0,2.0,1,low floor,Old Property,sector 3,flat,650.0,0,0,semifurnished,normal
2,0.4,2.0,2.0,3,high floor,New Property,sohna road,flat,595.0,0,0,unfurnished,normal
3,1.47,2.0,2.0,2,low floor,New Property,sector 61,flat,1200.0,0,0,unfurnished,semi_luxrious
4,0.7,2.0,2.0,3,mid floor,Under Construction,sector 92,flat,1076.0,0,0,unfurnished,low
5,0.41,2.0,2.0,3,low floor,New Property,sector 36,flat,654.012,0,0,unfurnished,low
6,2.0,3.0,3.0,3,mid floor,New Property,dwarka expressway,flat,1200.0,0,0,unfurnished,low
7,1.8,3.0,4.0,3,high floor,New Property,sector 104,flat,2290.0,0,0,unfurnished,semi_luxrious
8,1.1,2.0,4.0,3+,low floor,Under Construction,sector 88,flat,1050.0,0,0,unfurnished,semi_luxrious
9,4.75,3.0,3.0,2,high floor,Moderately Old,sector 78,flat,2813.148,1,0,unfurnished,semi_luxrious
10,0.96,2.0,2.0,2,low floor,Relatively New,sector 81,flat,1075.0,0,0,unfurnished,normal
11,0.29,2.0,2.0,1,low floor,Relatively New,sohna road,flat,519.0,0,0,unfurnished,normal
12,1.35,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1945.0,0,0,unfurnished,low
13,0.95,2.0,2.0,3+,low floor,Under Construction,sector 33,flat,1108.0,0,0,unfurnished,low
14,0.7,2.0,2.0,3,high floor,New Property,sector 90,flat,1040.0,0,0,unfurnished,low
15,3.95,4.0,5.0,3,high floor,Relatively New,sector 108,flat,2300.0,0,0,unfurnished,semi_luxrious
16,0.9,1.0,1.0,0,groundfloor,Relatively New,sector 62,flat,639.023,0,0,unfurnished,low
17,1.05,2.0,2.0,2,groundfloor,Relatively New,sector 102,flat,915.0,0,0,unfurnished,normal
18,2.2,3.0,3.0,3,high floor,New Property,sector 33,flat,1680.0,1,0,semifurnished,normal
19,1.01,2.0,2.0,2,low floor,New Property,sector 89,flat,1103.0,0,0,unfurnished,normal
20,1.85,3.0,4.0,3+,high floor,New Property,sector 79,flat,1720.0,1,0,unfurnished,normal
21,0.86,2.0,3.0,3,low floor,Under Construction,sector 89,flat,882.4000000000001,0,0,unfurnished,normal
22,1.85,3.0,3.0,3+,groundfloor,Relatively New,sector 102,flat,2025.0,1,0,semifurnished,semi_luxrious
23,2.85,3.0,3.0,3+,mid floor,New Property,sector 113,flat,1773.6,1,0,unfurnished,semi_luxrious
24,0.42,2.0,2.0,1,low floor,New Property,sector 36,flat,531.0,0,0,unfurnished,low
25,6.15,3.0,4.0,2,high floor,Relatively New,sector 65,flat,2200.0,0,0,unfurnished,normal
26,6.25,3.0,5.0,3+,mid floor,Moderately Old,sector 48,flat,2880.0,1,0,semifurnished,normal
27,0.42,2.0,2.0,2,low floor,Relatively New,sector 37,flat,750.0,0,0,unfurnished,normal
28,1.35,2.0,2.0,0,low floor,Relatively New,sector 3,flat,912.0,0,0,unfurnished,semi_luxrious
29,1.6,2.0,2.0,2,low floor,Relatively New,sector 2,flat,66.0,0,0,unfurnished,low
30,3.25,4.0,4.0,3+,high floor,Moderately Old,sector 43,flat,3000.0,0,1,semifurnished,luxrious
31,0.45,2.0,2.0,1,mid floor,New Property,sector 88,flat,625.490229,0,0,unfurnished,low
32,0.85,3.0,2.0,2,high floor,Relatively New,sector 92,flat,1300.092,0,0,unfurnished,low
33,0.75,2.0,2.0,3,mid floor,Relatively New,sector 90,flat,1300.0,0,0,unfurnished,semi_luxrious
34,0.82,2.0,2.0,3+,high floor,Under Construction,sector 68,flat,944.0,0,0,unfurnished,semi_luxrious
35,1.8,3.0,3.0,2,groundfloor,Moderately Old,sector 109,flat,1785.0,1,0,unfurnished,semi_luxrious
36,0.3,2.0,2.0,2,mid floor,New Property,sohna road,flat,555.0,0,0,unfurnished,semi_luxrious
37,0.78,2.0,2.0,3,low floor,Moderately Old,sector 37,flat,900.0,0,0,semifurnished,semi_luxrious
38,2.0,3.0,3.0,2,low floor,Old Property,sector 43,flat,1320.0,1,0,furnished,low
39,0.74,2.0,2.0,3+,high floor,New Property,sohna road,flat,1210.0,0,0,unfurnished,semi_luxrious
40,3.2,3.0,3.0,3+,mid floor,Relatively New,sector 106,flat,2002.0,1,0,unfurnished,normal
41,1.3,4.0,4.0,3+,low floor,Relatively New,sector 82,flat,1568.0,1,0,unfurnished,luxrious
42,0.25,2.0,2.0,2,low floor,Relatively New,sector 3,flat,700.0,0,0,unfurnished,low
43,0.95,3.0,2.0,3+,low floor,Relatively New,sohna road,flat,756.5945310000001,0,0,unfurnished,normal
44,1.99,4.0,4.0,3+,mid floor,Relatively New,sector 90,flat,2727.0,1,1,semifurnished,semi_luxrious
45,1.05,2.0,2.0,2,mid floor,New Property,sector 106,flat,1385.0,0,0,unfurnished,semi_luxrious
46,1.83,3.0,3.0,3+,high floor,Relatively New,sector 85,flat,1829.0,0,0,unfurnished,semi_luxrious
47,2.25,3.0,3.0,3+,high floor,Relatively New,sector 82,flat,2100.0,1,0,furnished,semi_luxrious
48,2.8,3.0,3.0,3+,low floor,Relatively New,sector 65,flat,1650.0,1,0,semifurnished,normal
49,1.6,2.0,2.0,2,low floor,Relatively New,sector 28,flat,1100.0,0,0,unfurnished,normal
50,0.83,2.0,2.0,3,mid floor,New Property,sector 79,flat,1530.0,0,0,furnished,normal
51,0.83,3.0,2.0,2,low floor,New Property,sohna road,flat,1120.0,0,0,unfurnished,low
52,0.8,2.0,3.0,2,mid floor,New Property,sector 10,flat,1250.0,0,0,unfurnished,normal
53,1.25,4.0,4.0,3+,mid floor,Moderately Old,sector 1,flat,2651.0,0,0,semifurnished,normal
54,0.23,1.0,1.0,1,low floor,Relatively New,sector 21,flat,460.0,0,0,unfurnished,low
55,0.3,1.0,1.0,1,high floor,New Property,sector 84,flat,450.0,0,0,semifurnished,low
56,1.55,3.0,4.0,1,low floor,Relatively New,sector 33,flat,1256.0,1,0,unfurnished,normal
57,0.79,2.0,2.0,2,mid floor,Relatively New,sector 71,flat,958.4,0,0,unfurnished,low
58,0.5,2.0,2.0,2,low floor,Moderately Old,sector 7,flat,750.0,0,0,unfurnished,low
59,1.01,2.0,2.0,3,high floor,Relatively New,sohna road,flat,950.0,0,0,unfurnished,semi_luxrious
60,0.95,4.0,5.0,3+,low floor,Moderately Old,sector 92,flat,1517.6,1,0,unfurnished,normal
61,0.99,2.0,2.0,2,low floor,Relatively New,sector 77,flat,1000.0,0,0,unfurnished,semi_luxrious
62,1.1,3.0,3.0,3+,mid floor,Relatively New,sector 37,flat,1380.0,0,0,unfurnished,semi_luxrious
63,1.9,4.0,4.0,3,low floor,New Property,sector 67,flat,1760.0,0,0,semifurnished,semi_luxrious
64,1.0,3.0,3.0,3+,mid floor,Under Construction,sector 37,flat,1500.0,0,0,unfurnished,normal
65,2.5,3.0,3.0,3,mid floor,Moderately Old,sector 57,flat,1800.0,0,0,unfurnished,normal
66,1.1,2.0,2.0,2,high floor,Under Construction,sector 3,flat,845.2675392,0,0,unfurnished,semi_luxrious
67,0.29,2.0,2.0,2,high floor,Relatively New,sector 95,flat,448.0,0,0,unfurnished,normal
68,0.55,2.0,2.0,3,high floor,New Property,sector 95,flat,950.0,0,0,unfurnished,low
69,0.65,3.0,2.0,3,mid floor,Relatively New,sector 92,flat,1096.0,0,0,unfurnished,normal
70,0.5,2.0,2.0,2,mid floor,New Property,sohna road,flat,531.521382,0,0,unfurnished,normal
71,0.32,2.0,2.0,1,low floor,New Property,sector 99,flat,575.0,0,0,unfurnished,normal
72,0.93,2.0,3.0,3,low floor,Relatively New,sector 103,flat,1452.0,1,0,semifurnished,semi_luxrious
73,1.2,3.0,3.0,2,low floor,New Property,sector 89,flat,1423.0,0,0,unfurnished,normal
74,0.3,2.0,2.0,2,low floor,Relatively New,sohna road,flat,640.0,0,0,unfurnished,normal
75,0.56,2.0,2.0,3,low floor,New Property,sohna road,flat,822.0,0,0,unfurnished,luxrious
76,2.7,3.0,4.0,3+,mid floor,Moderately Old,sector 49,flat,1727.2,0,0,unfurnished,low
77,1.0,3.0,4.0,3,mid floor,New Property,sector 90,flat,1560.0,1,0,unfurnished,semi_luxrious
78,1.45,3.0,2.0,2,low floor,Old Property,sector 30,flat,1090.0,0,0,furnished,semi_luxrious
79,1.25,3.0,3.0,0,low floor,New Property,sector 89,flat,1190.0,0,0,unfurnished,semi_luxrious
80,4.5,5.0,5.0,3+,high floor,New Property,sector 66,flat,2936.0,1,0,unfurnished,semi_luxrious
81,0.64,2.0,2.0,1,low floor,New Property,sector 15,flat,800.0,0,0,unfurnished,low
82,0.28,2.0,2.0,1,high floor,Relatively New,sohna road,flat,643.0,0,0,unfurnished,normal
83,3.87,3.0,4.0,3+,high floor,New Property,sector 61,flat,1249.68879,1,0,unfurnished,semi_luxrious
84,1.38,3.0,3.0,1,low floor,Moderately Old,sector 109,flat,2177.0,0,0,unfurnished,low
