society,price,price_persqft,bedRoom,bathroom,balcony,floorNum,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
maa bhagwati residency,0.45,5000.0,2.0,2.0,1,4.0,Relatively New,sector 7,flat,900.0,0,0,0,0,0,2,28
apna enclave,0.5,7692.0,2.0,2.0,1,1.0,Old Property,sector 3,flat,650.0,0,0,0,0,0,0,37
tulsiani easy in homes,0.4,6722.0,2.0,2.0,3,12.0,New Property,sohna road,flat,595.0,0,0,0,0,0,2,36
smart world orchard,1.47,12250.0,2.0,2.0,2,2.0,New Property,sector 61,flat,1200.0,1,0,0,0,0,2,76
parkwood westend,0.7,5204.0,2.0,2.0,3,5.0,Under Construction,sector 92,flat,1076.0,1,0,0,0,0,2,0
signature global infinity mall,0.41,6269.0,2.0,2.0,3,3.0,New Property,sector 36,flat,654.012,0,0,0,0,0,2,0
the cocoon,2.0,13333.0,3.0,3.0,3,5.0,New Property,dwarka expressway,flat,1200.0,0,0,0,0,0,2,0
ats triumph,1.8,7860.0,3.0,4.0,3,14.0,New Property,sector 104,flat,2290.0,0,0,0,0,0,2,60
vatika xpressions,1.1,8148.0,2.0,4.0,3+,2.0,Under Construction,sector 88b,flat,1050.0,1,0,0,0,0,2,58
raheja revanta,4.75,16885.0,3.0,3.0,2,31.0,Moderately Old,sector 78,flat,2813.148,0,1,0,0,0,2,100
signature global city 81,0.96,9767.0,2.0,2.0,2,1.0,Relatively New,sector 81,flat,1075.0,0,0,0,0,0,2,49
hcbs sports ville,0.29,5587.0,2.0,2.0,1,4.0,Relatively New,sohna road,flat,519.0,0,0,0,0,0,2,44
supertech araville,1.35,6940.0,3.0,3.0,3,4.0,Relatively New,sector 79,flat,1945.0,0,0,0,0,0,2,0
godrej,0.95,6859.0,2.0,2.0,3+,3.0,Under Construction,sector 33,flat,1108.0,0,0,0,0,0,2,0
shree vardhman flora,0.7,5384.0,2.0,2.0,3,13.0,New Property,sector 90,flat,1040.0,1,0,0,0,0,2,15
sobha city,3.95,16859.0,4.0,5.0,3,25.0,Relatively New,sector 108,flat,2300.0,0,0,0,0,0,2,59
senate court,0.9,14084.0,1.0,1.0,0,0.0,Relatively New,sector 62,flat,639.023,0,0,0,0,0,2,0
shapoorji pallonji joyville gurugram,1.05,11475.0,2.0,2.0,2,0.0,Relatively New,sector 102,flat,915.0,0,0,0,0,0,2,49
central park flower valley,2.2,10476.0,3.0,3.0,3,12.0,New Property,sector 33,flat,1680.0,0,1,0,0,0,0,49
smart world gems,1.01,9156.0,2.0,2.0,2,4.0,New Property,sector 89,flat,1103.0,1,0,0,0,0,2,38
bestech altura,1.85,8604.0,3.0,4.0,3+,11.0,New Property,sector 79,flat,1720.0,0,1,0,0,0,2,49
smart world gems,0.86,7796.0,2.0,3.0,3,4.0,Under Construction,sector 89,flat,882.4000000000001,0,0,0,0,0,2,45
emaar imperial gardens,1.85,9135.0,3.0,3.0,3+,0.0,Relatively New,sector 102,flat,2025.0,0,1,0,0,0,0,95
la vida by tata housing,2.85,12855.0,3.0,3.0,3+,10.0,New Property,sector 113,flat,1773.6000000000001,0,1,0,0,0,2,72
the serenas,0.42,7910.0,2.0,2.0,1,3.0,New Property,sector 36,flat,531.0,0,0,0,0,0,2,0
m3m golfestate,6.15,18331.0,3.0,4.0,2,20.0,Relatively New,sector 65,flat,2200.0,0,0,0,0,0,2,34
central park resort belgravia residences,6.25,24300.0,3.0,5.0,3+,5.0,Moderately Old,sector 48,flat,2880.0,0,1,0,0,0,0,49
apex builders,0.42,5600.0,2.0,2.0,2,4.0,Relatively New,sector 37c,flat,750.0,0,0,0,0,0,2,42
godrej habitat,1.35,12784.0,2.0,2.0,0,4.0,Old Property,sector 3,flat,912.0,0,0,0,0,0,2,60
ompee k s residency,1.6,2993.0,2.0,2.0,2,1.0,Relatively New,new sector 2,flat,66.0,0,0,0,0,0,2,0
bhawna cghs,3.25,10156.0,4.0,4.0,3+,12.0,Moderately Old,sector 43,flat,3000.0,0,0,0,1,0,0,119
adani aangan arcade,0.45,7194.0,2.0,2.0,1,8.0,New Property,sector 88a,flat,625.490229,0,0,0,0,0,2,14
sare green parc,0.85,6538.0,3.0,2.0,2,20.0,Relatively New,sector 92,flat,1300.092,0,0,0,0,0,2,0
shree vardhman flora,0.75,5769.0,2.0,2.0,3,8.0,Relatively New,sector 90,flat,1300.0,0,0,0,0,0,2,60
supertech hues,0.82,6950.0,2.0,2.0,3+,21.0,Under Construction,sector 68,flat,944.0,0,0,0,0,1,2,72
chintels paradiso,1.8,8866.0,3.0,3.0,2,0.0,Moderately Old,sector 109,flat,1785.0,0,1,0,0,0,2,83
breez global hill view,0.3,5403.0,2.0,2.0,2,6.0,New Property,sohna road,flat,555.0,0,0,0,0,0,2,109
