price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
0.45,2.0,2.0,1,low floor,relatively new,sector 7,flat,900.0,no,no,unfurnished,low
0.5,2.0,2.0,1,low floor,old property,sector 3,flat,650.0,no,no,semifurnished,normal
0.4,2.0,2.0,3,high floor,new property,sohna road,flat,595.0,no,no,unfurnished,normal
1.47,2.0,2.0,2,low floor,new property,sector 61,flat,1200.0,no,no,unfurnished,semi_luxrious
0.7,2.0,2.0,3,mid floor,under construction,sector 92,flat,1076.0,no,no,unfurnished,low
0.41,2.0,2.0,3,low floor,new property,sector 36,flat,654.012,no,no,unfurnished,low
2.0,3.0,3.0,3,mid floor,new property,dwarka expressway,flat,1200.0,no,no,unfurnished,low
1.8,3.0,4.0,3,high floor,new property,sector 104,flat,2290.0,no,no,unfurnished,semi_luxrious
1.1,2.0,4.0,3+,low floor,under construction,sector 88,flat,1050.0,no,no,unfurnished,semi_luxrious
4.75,3.0,3.0,2,high floor,moderately old,sector 78,flat,2813.148,yes,no,unfurnished,semi_luxrious
0.96,2.0,2.0,2,low floor,relatively new,sector 81,flat,1075.0,no,no,unfurnished,normal
0.29,2.0,2.0,1,low floor,relatively new,sohna road,flat,519.0,no,no,unfurnished,normal
1.35,3.0,3.0,3,low floor,relatively new,sector 79,flat,1945.0,no,no,unfurnished,low
0.95,2.0,2.0,3+,low floor,under construction,sector 33,flat,1108.0,no,no,unfurnished,low
0.7,2.0,2.0,3,high floor,new property,sector 90,flat,1040.0,no,no,unfurnished,low
3.95,4.0,5.0,3,high floor,relatively new,sector 108,flat,2300.0,no,no,unfurnished,semi_luxrious
0.9,1.0,1.0,0,groundfloor,relatively new,sector 62,flat,639.023,no,no,unfurnished,low
1.05,2.0,2.0,2,groundfloor,relatively new,sector 102,flat,915.0,no,no,unfurnished,normal
2.2,3.0,3.0,3,high floor,new property,sector 33,flat,1680.0,yes,no,semifurnished,normal
1.01,2.0,2.0,2,low floor,new property,sector 89,flat,1103.0,no,no,unfurnished,normal
1.85,3.0,4.0,3+,high floor,new property,sector 79,flat,1720.0,yes,no,unfurnished,normal
0.86,2.0,3.0,3,low floor,under construction,sector 89,flat,882.4000000000001,no,no,unfurnished,normal
1.85,3.0,3.0,3+,groundfloor,relatively new,sector 102,flat,2025.0,yes,no,semifurnished,semi_luxrious
2.85,3.0,3.0,3+,mid floor,new property,sector 113,flat,1773.6,yes,no,unfurnished,semi_luxrious
0.42,2.0,2.0,1,low floor,new property,sector 36,flat,531.0,no,no,unfurnished,low
6.15,3.0,4.0,2,high floor,relatively new,sector 65,flat,2200.0,no,no,unfurnished,normal
6.25,3.0,5.0,3+,mid floor,moderately old,sector 48,flat,2880.0,yes,no,semifurnished,normal
0.42,2.0,2.0,2,low floor,relatively new,sector 37,flat,750.0,no,no,unfurnished,normal
1.35,2.0,2.0,0,low floor,relatively new,sector 3,flat,912.0,no,no,unfurnished,semi_luxrious
1.6,2.0,2.0,2,low floor,relatively new,sector 2,flat,66.0,no,no,unfurnished,low
3.25,4.0,4.0,3+,high floor,moderately old,sector 43,flat,3000.0,no,yes,semifurnished,luxrious
0.45,2.0,2.0,1,mid floor,new property,sector 88,flat,625.490229,no,no,unfurnished,low
0.85,3.0,2.0,2,high floor,relatively new,sector 92,flat,1300.092,no,no,unfurnished,low
0.75,2.0,2.0,3,mid floor,relatively new,sector 90,flat,1300.0,no,no,unfurnished,semi_luxrious
0.82,2.0,2.0,3+,high floor,under construction,sector 68,flat,944.0,no,no,unfurnished,semi_luxrious
1.8,3.0,3.0,2,groundfloor,moderately old,sector 109,flat,1785.0,yes,no,unfurnished,semi_luxrious
0.3,2.0,2.0,2,mid floor,new property,sohna road,flat,555.0,no,no,unfurnished,semi_luxrious
0.78,2.0,2.0,3,low floor,moderately old,sector 37,flat,900.0,no,no,semifurnished,semi_luxrious
2.0,3.0,3.0,2,low floor,old property,sector 43,flat,1320.0,yes,no,furnished,low
0.74,2.0,2.0,3+,high floor,new property,sohna road,flat,1210.0,no,no,unfurnished,semi_luxrious
3.2,3.0,3.0,3+,mid floor,relatively new,sector 106,flat,2002.0,yes,no,unfurnished,normal
1.3,4.0,4.0,3+,low floor,relatively new,sector 82,flat,1568.0,yes,no,unfurnished,luxrious
0.25,2.0,2.0,2,low floor,relatively new,sector 3,flat,700.0,no,no,unfurnished,low
0.95,3.0,2.0,3+,low floor,relatively new,sohna road,flat,756.5945310000001,no,no,unfurnished,normal
1.99,4.0,4.0,3+,mid floor,relatively new,sector 90,flat,2727.0,yes,yes,semifurnished,semi_luxrious
1.05,2.0,2.0,2,mid floor,new property,sector 106,flat,1385.0,no,no,unfurnished,semi_luxrious
1.83,3.0,3.0,3+,high floor,relatively new,sector 85,flat,1829.0,no,no,unfurnished,semi_luxrious
2.25,3.0,3.0,3+,high floor,relatively new,sector 82,flat,2100.0,yes,no,furnished,semi_luxrious
2.8,3.0,3.0,3+,low floor,relatively new,sector 65,flat,1650.0,yes,no,semifurnished,normal
1.6,2.0,2.0,2,low floor,relatively new,sector 28,flat,1100.0,no,no,unfurnished,normal
0.83,2.0,2.0,3,mid floor,new property,sector 79,flat,1530.0,no,no,furnished,normal
0.83,3.0,2.0,2,low floor,new property,sohna road,flat,1120.0,no,no,unfurnished,low
0.8,2.0,3.0,2,mid floor,new property,sector 10,flat,1250.0,no,no,unfurnished,normal
1.25,4.0,4.0,3+,mid floor,moderately old,sector 1,flat,2651.0,no,no,semifurnished,normal
0.23,1.0,1.0,1,low floor,relatively new,sector 21,flat,460.0,no,no,unfurnished,low
0.3,1.0,1.0,1,high floor,new property,sector 84,flat,450.0,no,no,semifurnished,low
1.55,3.0,4.0,1,low floor,relatively new,sector 33,flat,1256.0,yes,no,unfurnished,normal
0.79,2.0,2.0,2,mid floor,relatively new,sector 71,flat,958.4,no,no,unfurnished,low
0.5,2.0,2.0,2,low floor,moderately old,sector 7,flat,750.0,no,no,unfurnished,low
1.01,2.0,2.0,3,high floor,relatively new,sohna road,flat,950.0,no,no,unfurnished,semi_luxrious
0.95,4.0,5.0,3+,low floor,moderately old,sector 92,flat,1517.6,yes,no,unfurnished,normal
0.99,2.0,2.0,2,low floor,relatively new,sector 77,flat,1000.0,no,no,unfurnished,semi_luxrious
1.1,3.0,3.0,3+,mid floor,relatively new,sector 37,flat,1380.0,no,no,unfurnished,semi_luxrious
1.9,4.0,4.0,3,low floor,new property,sector 67,flat,1760.0,no,no,semifurnished,semi_luxrious
1.0,3.0,3.0,3+,mid floor,under construction,sector 37,flat,1500.0,no,no,unfurnished,normal
2.5,3.0,3.0,3,mid floor,moderately old,sector 57,flat,1800.0,no,no,unfurnished,normal
1.1,2.0,2.0,2,high floor,under construction,sector 3,flat,845.2675392,no,no,unfurnished,semi_luxrious
0.29,2.0,2.0,2,high floor,relatively new,sector 95,flat,448.0,no,no,unfurnished,normal
0.55,2.0,2.0,3,high floor,new property,sector 95,flat,950.0,no,no,unfurnished,low
0.65,3.0,2.0,3,mid floor,relatively new,sector 92,flat,1096.0,no,no,unfurnished,normal
0.5,2.0,2.0,2,mid floor,new property,sohna road,flat,531.521382,no,no,unfurnished,normal
0.32,2.0,2.0,1,low floor,new property,sector 99,flat,575.0,no,no,unfurnished,normal
0.93,2.0,3.0,3,low floor,relatively new,sector 103,flat,1452.0,yes,no,semifurnished,semi_luxrious
1.2,3.0,3.0,2,low floor,new property,sector 89,flat,1423.0,no,no,unfurnished,normal
0.3,2.0,2.0,2,low floor,relatively new,sohna road,flat,640.0,no,no,unfurnished,normal
0.56,2.0,2.0,3,low floor,new property,sohna road,flat,822.0,no,no,unfurnished,luxrious
2.7,3.0,4.0,3+,mid floor,moderately old,sector 49,flat,1727.2,no,no,unfurnished,low
1.0,3.0,4.0,3,mid floor,new property,sector 90,flat,1560.0,yes,no,unfurnished,semi_luxrious
1.45,3.0,2.0,2,low floor,old property,sector 30,flat,1090.0,no,no,furnished,semi_luxrious
1.25,3.0,3.0,0,low floor,new property,sector 89,flat,1190.0,no,no,unfurnished,semi_luxrious
4.5,5.0,5.0,3+,high floor,new property,sector 66,flat,2936.0,yes,no,unfurnished,semi_luxrious
0.64,2.0,2.0,1,low floor,new property,sector 15,flat,800.0,no,no,unfurnished,low
0.28,2.0,2.0,1,high floor,relatively new,sohna road,flat,643.0,no,no,unfurnished,normal
3.87,3.0,4.0,3+,high floor,new property,sector 61,flat,1249.68879,yes,no,unfurnished,semi_luxrious
1.38,3.0,3.0,1,low floor,moderately old,sector 109,flat,2177.0,no,no,unfurnished,low
0.43,2.0,2.0,1,low floor,relatively new,sector 4,flat,650.0,no,no,unfurnished,low
0.29,2.0,1.0,1,low floor,relatively new,sector 2,flat,900.0,no,no,unfurnished,low
1.1,2.0,2.0,2,low floor,relatively new,sector 37,flat,1118.0,no,no,unfurnished,semi_luxrious
2.0,2.0,2.0,2,high floor,relatively new,sector 65,flat,1000.0,no,no,unfurnished,normal
0.9,3.0,2.0,2,low floor,relatively new,sohna road,flat,896.0,no,no,unfurnished,luxrious
0.9,3.0,2.0,0,low floor,relatively new,sohna road,flat,1119.96,no,no,unfurnished,semi_luxrious
1.75,3.0,3.0,0,low floor,new property,sector 33,flat,1995.894,no,no,unfurnished,normal
0.93,2.0,2.0,2,high floor,new property,sector 68,flat,1080.0,no,no,unfurnished,low
1.8,4.0,4.0,3+,high floor,moderately old,sector 90,flat,2181.6,no,no,unfurnished,semi_luxrious
2.1,3.0,3.0,2,mid floor,under construction,sector 33,flat,1431.2,no,no,unfurnished,low
2.0,2.0,2.0,2,mid floor,relatively new,sector 22,flat,1380.0,no,no,unfurnished,normal
2.0,3.0,3.0,2,low floor,relatively new,sector 63,flat,1562.5,no,no,unfurnished,normal
1.29,3.0,3.0,3,mid floor,new property,sector 88,flat,1629.0,no,no,unfurnished,semi_luxrious
2.85,3.0,3.0,3,high floor,relatively new,sector 65,flat,1462.4,no,no,semifurnished,luxrious
1.1,3.0,3.0,3,low floor,relatively new,sector 79,flat,1950.0,no,no,semifurnished,semi_luxrious
1.65,2.0,2.0,2,low floor,under construction,sector 61,flat,1200.0,no,no,unfurnished,low
0.24,1.0,1.0,2,low floor,new property,sohna road,flat,324.0,no,no,unfurnished,semi_luxrious
2.1,3.0,4.0,3+,high floor,new property,sector 77,flat,1500.0,yes,no,semifurnished,luxrious
1.9,3.0,3.0,3+,high floor,new property,sector 33,flat,1929.0,yes,no,unfurnished,semi_luxrious
0.32,2.0,2.0,1,mid floor,relatively new,sector 95,flat,443.365041,no,no,furnished,low
1.7,1.0,1.0,2,mid floor,relatively new,sector 109,flat,628.0,no,no,unfurnished,low
0.32,2.0,2.0,2,low floor,new property,sector 99,flat,524.0,no,no,unfurnished,normal
0.45,2.0,2.0,1,low floor,relatively new,sector 86,flat,581.3582389999999,no,no,unfurnished,semi_luxrious
1.2,1.0,2.0,2,high floor,under construction,sector 78,flat,505.0,no,no,unfurnished,normal
2.1,2.0,2.0,2,high floor,new property,sector 65,flat,1048.0,no,no,unfurnished,luxrious
0.42,2.0,2.0,1,low floor,relatively new,sector 4,flat,750.0,no,no,semifurnished,low
1.55,3.0,2.0,3+,mid floor,new property,sector 33,flat,1557.0,no,no,unfurnished,normal
1.3,3.0,3.0,2,low floor,under construction,dwarka expressway,flat,1152.0,no,no,unfurnished,low
