society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
maa bhagwati residency,0.45,5000.0,2.0,2.0,1,not avilable,4.0,West,Relatively New,sector 7,900.0,flat,,,900.0,0,0,0,0,0,2,28,450.0
apna enclave,0.5,7692.0,2.0,2.0,1,not avilable,1.0,West,Old Property,sector 3,650.026,flat,,,650.0,0,0,0,0,0,0,37,325.0
tulsiani easy in homes,0.4,6722.0,2.0,2.0,3,not avilable,12.0,,New Property,sohna road,595.061,flat,,,595.0,0,0,0,0,0,2,36,298.0
smart world orchard,1.47,12250.0,2.0,2.0,2,study room,2.0,,Undefined,sector 61,1200.0,flat,,,1200.0,1,0,0,0,0,2,76,600.0
parkwood westend,0.7,5204.0,2.0,2.0,3,study room,5.0,,Under Construction,sector 92,1345.119,flat,1345.0,,,1,0,0,0,0,2,0,673.0
signature global infinity mall,0.41,6269.0,2.0,2.0,3,not avilable,3.0,,Undefined,sector 36,654.012,flat,,,,0,0,0,0,0,2,0,327.0
the cocoon,2.0,13333.0,3.0,3.0,3,not avilable,5.0,,New Property,dwarka expressway,1500.038,flat,1500.0,,,0,0,0,0,0,2,0,500.0
ats triumph,1.8,7860.0,3.0,4.0,3,not avilable,14.0,,New Property,sector 104,2290.076,flat,,,2290.0,0,0,0,0,0,2,60,763.0
vatika xpressions,1.1,8148.0,2.0,4.0,3+,study room,2.0,North-East,Under Construction,sector 88b,1350.025,flat,,,1050.0,1,0,0,0,0,2,58,675.0
raheja revanta,4.75,16885.0,3.0,3.0,2,servant room,31.0,,Undefined,sector 78,2813.148,flat,,,,0,1,0,0,0,2,100,938.0
signature global city 81,0.96,9767.0,2.0,2.0,2,not avilable,1.0,,Undefined,sector 81,982.902,flat,,,1075.0,0,0,0,0,0,2,49,491.0
hcbs sports ville,0.29,5587.0,2.0,2.0,1,not avilable,4.0,,Relatively New,sohna road,519.062,flat,,,519.0,0,0,0,0,0,2,44,260.0
supertech araville,1.35,6940.0,3.0,3.0,3,not avilable,4.0,,Relatively New,sector 79,1945.245,flat,,,1945.0,0,0,0,0,0,2,0,648.0
godrej,0.95,6859.0,2.0,2.0,3+,not avilable,3.0,South-East,Under Construction,sector 33,1385.042,flat,1385.0,,,0,0,0,0,0,2,0,693.0
shree vardhman flora,0.7,5384.0,2.0,2.0,3,study room,13.0,,New Property,sector 90,1300.149,flat,1300.0,,,1,0,0,0,0,2,15,650.0
sobha city,3.95,16859.0,4.0,5.0,3,not avilable,25.0,,Undefined,sector 108,2342.962,flat,,,2300.0,0,0,0,0,0,2,59,586.0
