building type_1 BHK,area low 1 BHK,area high 1 BHK,price low 1 BHK,price high 1 BHK,building type_2 BHK,area low 2 BHK,area high 2 BHK,price low 2 BHK,price high 2 BHK,building type_3 BHK,area low 3 BHK,area high 3 BHK,price low 3 BHK,price high 3 BHK,building type_4 BHK,area low 4 BHK,area high 4 BHK,price low 4 BHK,price high 4 BHK,building type_5 BHK,area low 5 BHK,area high 5 BHK,price low 5 BHK,price high 5 BHK,building type_6 BHK,area low 6 BHK,area high 6 BHK,price low 6 BHK,price high 6 BHK,building type_1 RK,area low 1 RK,area high 1 RK,price low 1 RK,price high 1 RK,building type_Land,area low Land,area high Land,price low Land,price high Land
,,,,,Apartment,1370.0,1370.0,2.0,2.4,Apartment,1850.0,2050.0,2.25,3.59,Apartment,2600.0,2600.0,3.24,4.56,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1605.0,2170.0,2.2,3.03,Apartment,2248.0,2670.0,3.08,3.73,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1800.0,3150.0,2.43,15.75,Independent Floor,2750.0,4500.0,3.36,22.5,,,,,,,,,,,,,,,,,500.0,4329.0,2.05,41.13
,,,,,Apartment,1381.0,1692.0,1.55,3.21,Apartment,1711.0,2343.0,1.76,4.79,Apartment,2423.0,2963.0,2.5,6.06,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,981.0,1118.0,0.9301,1.06,Independent Floor,1235.0,1530.0,1.12,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2290.0,2937.0,3.07,3.96,Apartment,3243.0,12613.0,4.35,17.39,Apartment,6096.0,7582.0,8.21,10.24,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2015.0,2150.0,1.53,1.85,Apartment,2250.0,2675.0,1.71,2.46,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1347.0,2600.0,4.05,8.88,Apartment,1692.0,3100.0,4.89,10.59,Apartment,2275.0,4100.0,6.0,14.0,,,,,,,,,,,,,,,
,,,,,Independent Floor,959.0,1145.0,1.26,1.51,Independent Floor,1091.0,1535.0,0.8645999999999999,4.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1508.26,1508.26,1.82,3.5,Apartment,2588.79,2588.79,2.0,6.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1055.0,1055.0,1.05,1.5,Independent Floor,1325.0,1525.0,1.35,1.84,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,3950.0,3950.0,7.0,7.31,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1193.0,1200.0,1.3,1.31,Apartment,1534.0,1534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
