PropertyName,PropertySubName,LocationAdvantages,Link,PriceDetails,TopFacilities
Smartworld One DXP,"2, 3, 4 BHK Apartment in Sector 113, Gurgaon","{'bajghera road': '0.8 km', 'palam vihar halt': '2.5 km', 'dpsg palam vihar': '3.1 km', 'park hospital': '3.1 km', 'gurgaon railway station': '4.9 km', 'the northcap university': '5.4 km', 'dwarka expy': '1.2 km', 'hyatt place gurgaon udyog vihar': '7.7 km', 'dwarka sector 21, metro station': '7.2 km', 'pacific d21 mall': '7.4 km', 'indira gandhi international airport': '14.7 km', 'hamoni golf camp': '6.2 km', 'fun n food waterpark': '8.8 km', 'accenture ddc5': '9 km'}",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,370 sq.ft.', 'price-range': '₹ 2 - 2.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 - 2,050 sq.ft.', 'price-range': '₹ 2.25 - 3.59 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,600 sq.ft.', 'price-range': '₹ 3.24 - 4.56 Cr'}}","['Swimming Pool', 'Salon', 'Restaurant', 'Spa', 'Cafeteria', 'Sun Deck', '24x7 Security', 'Club House', 'Gated Community']"
M3M Crown,"3, 4 BHK Apartment in Sector 111, Gurgaon","{'dpsg palam vihar gurugram': '1.4 km', 'the northcap university': '4.4 km', 'park hospital, palam vihar': '1.4 km', 'pacific d21 mall': '8.2 km', 'palam vihar halt railway station': '1.2 km', 'dwarka sector 21 metro station': '8.1 km', 'dwarka expressway': '0.45 km', 'fun n food water park': '8.1 km', 'indira gandhi international airport': '14.1 km', 'tau devilal sports complex': '11.2 km', 'hamoni golf camp': '5 km', 'hyatt place': '6.1 km', 'altrade business centre': '11.2 km'}",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,605 - 2,170 sq.ft.', 'price-range': '₹ 2.2 - 3.03 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,248 - 2,670 sq.ft.', 'price-range': '₹ 3.08 - 3.73 Cr'}}","['Bowling Alley', 'Mini Theatre', 'Manicured Garden', 'Swimming Pool', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Barbecue', 'Sauna']"
Adani Brahma Samsara Vilasa,"Land, 3, 4 BHK Independent Floor in Sector 63, Gurgaon","{'aipl business club sector 62': '2.7 km', 'heritage xperiential learning school': '2 km', 'ck birla hospital': '2.5 km', 'paras trinity mall sector 63': '3.5 km', 'rapid metro station sector 56': '3.8 km', 'de adventure park': '6.8 km', 'golf course ext rd': '0.099 km', 'doubletree by hilton hotel gurgaon': '3.6 km', 'kiit college of engineering sohna road': '8.4 km', 'mehrauli-gurgaon road': '11.8 km', 'indira gandhi international airport': '21.1 km', 'nirvana rd': '0.16 km', 'teri golf course': '8.7 km'}",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995,"{'3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '1,800 - 3,150 sq.ft.', 'price-range': '₹ 2.43 - 15.75 Cr'}, '4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '2,750 - 4,500 sq.ft.', 'price-range': '₹ 3.36 - 22.5 Cr'}, 'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '500 - 4,329 sq.ft.', 'price-range': '₹ 2.05 - 41.13 Cr'}}","['Terrace Garden', 'Gazebo', 'Fountain', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games']"
Sobha City,"2, 3, 4 BHK Apartment in Sector 108, Gurgaon","{'the shikshiyan school': '2.9 km', 'wtc plaza': '4 km', 'luxus haritma resort': '4.2 km', 'bsf golf course': '4.7 km', 'dwarka expressway': '5.1 km', 'rions hospital': '5.6 km', 'gurgaon': '5.9 km', 'the northcap university': '9.2 km', 'dwarka sector 21': '9.9 km', 'nehru stadium': '10.7  km', 'fun n food waterpark': '12.1 km', 'igi airport': '19.3 km', 'vasant kunj': '20.8 km'}",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,381 - 1,692 sq.ft.', 'price-range': '₹ 1.55 - 3.21 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,711 - 2,343 sq.ft.', 'price-range': '₹ 1.76 - 4.79 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,423 - 2,963 sq.ft.', 'price-range': '₹ 2.5 - 6.06 Cr'}}","['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']"
Signature Global City 93,"2, 3 BHK Independent Floor in Sector 93 Gurgaon","{'pranavananda int. school': '0.45 km', 'dlf site central office': '1.2 km', 'holiday inn gurugram sector 90': '2 km', 'krishna hospital': '2.3 km', 'royal institute of science': '2.4 km', 'sapphire 83 mall': '6.3 km', 'nh48': '6.9 km', 'garhi harsaru junction': '7.2 km', 'manesar golf course': '7.3 km', 'aapnoghar': '9.6 km', 'igi airport': '31 km'}",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '981 - 1,118 sq.ft.', 'price-range': '₹ 93.01 L - 1.06 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,235 - 1,530 sq.ft.', 'price-range': '₹ 1.12 - 1.45 Cr'}}","['Mini Theatre', 'Doctor on Call', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Salon']"
Whiteland The Aspen,"3, 4, 5 BHK Apartment in Sector 76, Gurgaon","{'vega schools nh-8': '0.65 km', 'dlf corporate greens': '6.2 km', 'miracles apollo cradle hospital': '6 km', 'sapphire 83 mall': '3.7 km', 'hyatt regency gurugram': '3.9 km', 'nh 48': '3.3 km', 'garhi harsaru junction': '11.1 km', 'indira gandhi international airport': '25.9 km', 'tau devilal sports complex': '10.4 km', 'golden greens golf & resorts limited': '9.2 km', 'de adventure park': '8.8 km'}",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,290 - 2,937 sq.ft.', 'price-range': '₹ 3.07 - 3.96 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,243 - 12,613 sq.ft.', 'price-range': '₹ 4.35 - 17.39 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '6,096 - 7,582 sq.ft.', 'price-range': '₹ 8.21 - 10.24 Cr'}}","['Reflexology Park', 'Card Room', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Entrance Lobby', 'Yoga/Meditation Area', 'Club House']"
Bestech Altura,"3, 4 BHK Apartment in Sector 79, Gurgaon","{'mount olympus junior school': '1 km', 'miracles apollo hospital': '4.8 km', 'sapphire 83 mall': '5.4 km', 'nh -8': '6.5 km', 'savoy suites, manesar': '6.9 km', 'golden greens golf & resorts': '8.2 km', 'imt manesar': '9.2 km', 'amity university gurugram': '12 km', 'golf course extension road': '13.6 km', 'indira gandhi international airport': '31 km'}",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,015 - 2,150 sq.ft.', 'price-range': '₹ 1.53 - 1.85 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,250 - 2,675 sq.ft.', 'price-range': '₹ 1.71 - 2.46 Cr'}}","['Swimming Pool', 'Football', 'Flower Garden', 'Reading Lounge', 'School', 'Pergola', 'Skating Rink', 'Grocery Shop', 'Squash Court']"
Elan The Presidential,"3, 4, 5 BHK Apartment in Sector 106, Gurgaon","{'dwarka expy, sector 109': '0.85 km', 'euro international school, sector- 109': '1.9 km', 'jai sai ram hospital': '2.4 km', 'aryan hospital': '5.6 km', 'idea cosmic plaza': '6 km', 'the northcap university': '7.2 km', 'indira gandhi intl airport': '17.8 km', 'gurgaon railway station': '3.2 km'}",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,347 - 2,600 sq.ft.', 'price-range': '₹ 4.05 - 8.88 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,692 - 3,100 sq.ft.', 'price-range': '₹ 4.89 - 10.59 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,275 - 4,100 sq.ft.', 'price-range': '₹ 6 - 14 Cr'}}","['Swimming Pool', 'Aerobics Centre', 'Shopping Centre', 'Video Door Security', 'Amphitheatre', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Jogging Track', '24x7 Security']"
Signature Global City 92,"2, 3 BHK Independent Floor in Sector 92, Gurgaon","{'royal institute of science & management': '1.4 km', 'pataudi road': '3.3 km', 'holiday inn sector 90': '3.5 km', 'rps international school': '3.8 km', 'garhi harsaru junction': '3.9 km', 'aarvy healthcare hospital': '4 km', 'iris broadway mall': '4.8 km', 'imt manesar': '6.6 km', 'dwarka expressway': '6.6 km', 'indira gandhi intl airport': '32.5 km'}",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '959 - 1,145 sq.ft.', 'price-range': '₹ 1.26 - 1.51 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,091 - 1,535 sq.ft.', 'price-range': '₹ 86.46 L - 4.01 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Terrace Garden', 'Waiting Lounge', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Sun Deck', 'Amphitheatre']"
Emaar Digihomes,"2, 3 BHK Apartment in Sector 62, Gurgaon","{'imperia mindspace': '0.14 km', 'aipl business tower': '0.16 km', 'heritage school': '1.3 km', 'lotus valley intl school, gurgaon': '2.6 km', 'gurugram university': '3.6 km', 'sector 55-56 metro station': '3.9 km', 'park hospital': '5.5 km', 'omaxe gurgaon mall': '5.8 km', 'sushant university': '6.1 km', 'badshahpur sohna rd hwy,sector 48': '7.5 km', 'indira gandhi intl airport': '24.8 km'}",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,508.26 sq.ft.', 'price-range': '₹ 1.82 - 3.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,588.79 sq.ft.', 'price-range': '₹ 2 - 6.01 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Salon', 'Card Room', 'Restaurant', 'Spa', 'Creche/Day care', 'Banquet Hall', 'Lawn Tennis Court']"
